Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
30/08/2018,"APARTMENT 35 SEASCAPE, 366 CLONTARF ROAD, DUBLIN3",Dublin 3,Dublin,"€415,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/01/2018,"37 Woodbank, Dublin Road, Shankill",,Dublin,"€528,635.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/5/2016,"NEW ROAD, BALLYOLIVER, RATHVULLY",,Carlow,"€40,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
19/06/2013,"21 Tara, An Caislean, Ballincollig",,Cork,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2019,"MAIN ST, ARDARA, DONEGAL",,Donegal,"€72,500.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2013,"5 Church Street, Sligo",,Sligo,"€62,500.00",No,No,Second-Hand Dwelling house /Apartment,
9/10/2017,"APT 2, 262 NORTH CIRCULAR ROAD, DUBLIN 7",,Dublin,"€110,900.00",No,No,Second-Hand Dwelling house /Apartment,
26/11/2020,"24 KINGS HILL, WESTPORT, MAYO",,Mayo,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/11/2020,"97 MOUNT ANVILLE PARK, GOATSTOWN, DUBLIN 14",Dublin 14,Dublin,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2018,"24 Oaktree Road, Cunnaberry Hill, Tully Road",,Kildare,"€275,000.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
3/10/2019,"13 HUNTSMANS RD, LUSK VILLAGE, LUSK",,Dublin,"€286,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2021,"647 THE KINGFISHER, THE SANCTUARY, JACOBS ISLAND",,Cork,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/03/2015,"13 ELM COURT, RAMELTON, DONEGAL",,Donegal,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2016,"19 PATRICKS GATE, GORTNAHOE, THURLES",,Tipperary,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
9/1/2017,"MURGASTY, TIPPERARY, CO TIPPERARY",,Tipperary,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2019,"119 ST DONAGHS RD, DONAGHMEDE, DUBLIN 13",Dublin 13,Dublin,"€180,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
14/05/2019,"21 SEABURY, STATION RD, ROSSLARE STRAND",,Wexford,"€142,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2018,"L23 CORNADARRAGH, BELTURBET, FOREST PARK",,Cavan,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"27 Glebe Hill, Brackenstown, Swords",,Dublin,"€460,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
11/6/2013,"90 Temple Mills, Rathangan",,Kildare,"€42,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
8/6/2017,"9 WESTFIELD, OUTRATH RD, KILKENNY",,Kilkenny,"€215,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/08/2018,"29 THE DRIVE, LAVALLIN, WHITECHURCH",,Cork,"€233,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2020,"76 APPLEWOOD VILLAGE, SWORDS, DUBLIN",,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/03/2016,"5 THE ANCHORAGE, ROBSWALL, MALAHIDE",,Dublin,"€228,135.00",No,No,Second-Hand Dwelling house /Apartment,
9/7/2020,"44, Cedarview  Northwood, Santry",Dublin 9,Dublin,"€436,123.35",No,Yes,New Dwelling house /Apartment,
7/1/2019,"146 MERIDIAN COURT, ROYAL CANAL PARK, RATOATH RD DUBLIN 15",Dublin 7,Dublin,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2017,"10 and 11 Coote Street, Portlaoise, Co. Laois",,Laois,"€110,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
6/9/2012,"SUITE 42, THE LODGE, DOONBEG",,Clare,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
