Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd
"Back of the Hill, Ardagh",,Longford,145000.0,No,No,Second-Hand Dwelling house /Apartment,,13,5,2010,2010-05-13
"CREIGHAN, CAVAN",,Cavan,110000.0,No,No,Second-Hand Dwelling house /Apartment,,12,9,2016,2016-09-12
"164 ROBERTS HILL, CIRCULAR RD, KILKENNY",,Kilkenny,140000.0,No,No,Second-Hand Dwelling house /Apartment,,29,8,2016,2016-08-29
"12 PRINT HOUSE, MARKET YARD, SLIGO",,Sligo,65000.0,No,No,Second-Hand Dwelling house /Apartment,,20,6,2017,2017-06-20
"115 SPERRIN RD, DRIMNAGH, DUBLIN 12",Dublin 12,Dublin,264000.0,No,No,Second-Hand Dwelling house /Apartment,,18,12,2017,2017-12-18
"80 AYLMER PARK, MONREAD ROAD, NAAS",,Kildare,447500.0,No,No,Second-Hand Dwelling house /Apartment,,30,6,2020,2020-06-30
"21 Hampton Wood Lawn, Finglas",Dublin 11,Dublin,144493.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,18,12,2014,2014-12-18
"BUNAGHARA, LISTOWEL, KERRY",,Kerry,165000.0,No,No,Second-Hand Dwelling house /Apartment,,18,10,2017,2017-10-18
"15 Dunville Lawn, Athlumney, Navan",,Meath,246696.0,No,Yes,New Dwelling house /Apartment,,13,12,2018,2018-12-13
"APT 110, ROCKVIEW, BLACKGLEN RD DUBLIN 18",Dublin 18,Dublin,270000.0,No,No,Second-Hand Dwelling house /Apartment,,3,11,2017,2017-11-03
"77 Belmayne Avenue, Parkside, Malahide Road",Dublin 13,Dublin,330396.47,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,14,6,2018,2018-06-14
"GARRYGLOSS, DRINAGH, DUNMANWAY",,Cork,220000.0,No,No,Second-Hand Dwelling house /Apartment,,20,1,2016,2016-01-20
"BELLEVUE, COOLBAWN, NENAGH",,Tipperary,402000.0,No,No,Second-Hand Dwelling house /Apartment,,2,12,2021,2021-12-02
"2 wgite Pines Drive, White Pines, Stocking Avenue",Dublin 16,Dublin,440484.0,No,Yes,New Dwelling house /Apartment,,14,12,2018,2018-12-14
"2 MAPLE HALL, MOUNT SAINT ANNES, MILLTOWN",,Dublin,396475.77,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,6,4,2017,2017-04-06
"3 COIS EALA, GROVE RD, RATHMINES DUBLIN 6",Dublin 6,Dublin,312000.0,No,No,Second-Hand Dwelling house /Apartment,,6,10,2016,2016-10-06
"45 Seachnall Abbey, Dunshaughlin, County Meath",,Meath,506608.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,11,5,2017,2017-05-11
"91 CAPWELL RD, CORK",,Cork,265000.0,No,No,Second-Hand Dwelling house /Apartment,,23,4,2019,2019-04-23
"CLOONKEEN, DUNMORE, GALWAY",,Galway,20000.0,No,No,Second-Hand Dwelling house /Apartment,,18,12,2015,2015-12-18
"8 RAVENSWOOD AVE, CLONEE, DUBLIN 15",Dublin 15,Dublin,233500.0,No,No,Second-Hand Dwelling house /Apartment,,27,9,2017,2017-09-27
"RATHJORDAN, HERBERTSTOWN, COUNTY LIMERICK",,Limerick,126000.0,No,No,Second-Hand Dwelling house /Apartment,,16,4,2018,2018-04-16
"FRIARSTOWN LOWER, BOHERNABREENA, TALLAGHT",,Dublin,300000.0,No,No,Second-Hand Dwelling house /Apartment,,16,4,2021,2021-04-16
